Sample,24.CB,27.CB,29.CB,31.CB,32.CB,33.CB,34.CB,35.CB,36.CB,37.CB,38.CB,39.CB
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__,127466,78790,90441,1057,122245,145831,82848,75838,58703,81539,123419,332
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,2095,640,96,25732,113,1342,10086,411,454,102,1808,813
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae,56,63,92,0,0,51,14,2216,3280,233,535,12768
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria,1357,951,1031,114,2178,1495,521,856,1222,1376,981,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,0,0,168,43,91,138,54,311,406,395,78,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae,81,9,9,90,0,75,45,673,375,72,139,1420
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,306,0,412,0,382,146,57,279,31,542,284,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,84,50,78,0,289,72,42,242,100,79,405,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__,9,4,205,4,13,0,25,13,0,238,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,0,0,0,20,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae,0,28,0,19,0,111,95,58,141,48,22,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,49,25,68,0,166,0,0,132,149,123,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae,161,158,768,24,107,0,343,226,208,68,301,9
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae,0,0,0,4,53,0,0,44,42,116,40,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae,17,0,114,0,118,19,129,300,15,631,164,6
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,0,65,85,18,223,0,66,597,139,379,170,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae,0,70,99,11,76,36,0,38,54,457,0,15
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__,0,0,0,0,8,0,120,0,0,196,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__,0,0,82,0,0,0,0,667,264,14,115,70
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae,0,0,45,0,0,64,0,134,321,0,0,0
